City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
258,Pangnirtung,66.15,-65.72,5.0,84,90,3.36,CA,2020-01-03 19:59:17,light snow
259,Barra Do Garcas,-15.89,-52.26,84.2,74,99,3.36,BR,2020-01-03 19:54:29,shower rain
260,Srednekolymsk,67.46,153.71,-2.07,78,0,2.71,RU,2020-01-03 19:55:18,clear sky
261,Aykhal,65.95,111.51,-16.6,82,0,2.24,RU,2020-01-03 19:59:18,clear sky
262,Alugan,12.22,125.48,78.53,84,44,15.97,PH,2020-01-03 19:59:18,light rain
263,Grindavik,63.84,-22.43,21.2,62,58,12.75,IS,2020-01-03 19:59:18,broken clouds
264,Sterling,39.0,-77.4,54.0,93,90,4.83,US,2020-01-03 19:59:19,moderate rain
265,Lander,42.83,-108.73,39.99,75,1,5.82,US,2020-01-03 19:59:19,clear sky
266,Haines Junction,60.75,-137.51,-6.2,99,100,6.46,CA,2020-01-03 19:59:19,light snow
267,Ginir,7.14,40.71,59.45,78,23,4.94,ET,2020-01-03 19:59:20,few clouds
268,Cotonou,6.37,2.43,78.8,44,85,4.7,BJ,2020-01-03 19:59:20,dust
269,Coffeyville,37.04,-95.62,53.01,53,1,12.75,US,2020-01-03 19:54:50,clear sky
270,Mantua,45.16,10.79,46.0,93,99,4.7,IT,2020-01-03 19:59:21,overcast clouds
271,Curitibanos,-27.29,-50.58,80.01,99,91,5.01,BR,2020-01-03 19:59:21,light rain
272,Cabedelo,-6.97,-34.84,86.0,62,40,11.41,BR,2020-01-03 19:59:22,scattered clouds
273,Unity,52.44,-109.15,19.99,83,87,1.01,CA,2020-01-03 19:59:22,overcast clouds
274,Manta,45.1,24.1,34.7,44,0,2.42,RO,2020-01-03 19:59:23,clear sky
275,Nanortalik,60.14,-45.24,33.46,61,100,5.41,GL,2020-01-03 19:59:23,overcast clouds
276,Sao Filipe,14.9,-24.5,71.44,73,85,13.04,CV,2020-01-03 19:55:25,overcast clouds
277,Khomutovka,51.92,34.56,27.19,95,42,10.8,RU,2020-01-03 19:59:24,scattered clouds
278,Uglovskoye,51.36,80.19,17.15,93,100,7.29,RU,2020-01-03 19:59:24,overcast clouds
279,Antofagasta,-23.65,-70.4,71.6,64,20,18.34,CL,2020-01-03 19:59:25,few clouds
280,Port Moresby,-9.47,147.16,75.2,100,75,5.82,PG,2020-01-03 19:59:25,broken clouds
281,Rancho Palos Verdes,33.75,-118.37,73.0,39,20,2.91,US,2020-01-03 19:55:27,few clouds
282,Yumen,40.29,97.04,15.26,61,0,2.62,CN,2020-01-03 19:59:26,clear sky
283,Charlottetown,46.23,-63.13,36.0,86,90,6.93,CA,2020-01-03 19:59:26,overcast clouds
284,Puerto Del Rosario,28.5,-13.86,64.4,45,0,13.87,ES,2020-01-03 19:59:27,clear sky
285,Amahai,-3.31,129.0,84.0,84,92,9.93,ID,2020-01-03 19:59:27,overcast clouds
286,La Ronge,55.1,-105.3,14.0,85,90,6.93,CA,2020-01-03 19:59:28,light snow
287,Port Elizabeth,39.31,-74.98,53.01,87,90,4.7,US,2020-01-03 19:59:28,overcast clouds
288,Det Udom,14.9,105.08,71.6,83,83,6.93,TH,2020-01-03 19:55:30,broken clouds
289,Hamilton,43.26,-79.87,46.99,75,90,8.05,CA,2020-01-03 19:55:11,overcast clouds
290,Oranjemund,-28.55,16.43,60.69,89,0,12.5,ZA,2020-01-03 19:59:29,clear sky
291,Sayanogorsk,53.09,91.41,12.96,70,4,7.76,RU,2020-01-03 19:59:30,clear sky
292,Petropavlovsk-Kamchatskiy,53.05,158.65,6.8,84,40,4.47,RU,2020-01-03 19:59:30,scattered clouds
293,Vao,59.1,26.19,38.37,76,100,9.35,EE,2020-01-03 19:59:31,light rain
294,Vostok,46.45,135.83,-15.99,96,21,5.1,RU,2020-01-03 19:55:32,few clouds
295,Ponta Do Sol,-20.63,-46.0,76.98,78,92,1.95,BR,2020-01-03 19:55:33,light rain
296,Nemuro,43.32,145.57,22.55,60,31,18.23,JP,2020-01-03 19:59:32,scattered clouds
297,Aksarka,66.56,67.8,7.63,97,91,8.28,RU,2020-01-03 19:55:33,overcast clouds
298,Zhangye,38.94,100.46,21.34,53,41,5.37,CN,2020-01-03 19:59:33,scattered clouds
299,Ilulissat,69.22,-51.1,19.4,44,40,13.87,GL,2020-01-03 19:59:33,scattered clouds
300,Mexico,39.17,-91.88,42.01,86,90,8.05,US,2020-01-03 19:57:59,overcast clouds
301,Ahipara,-35.17,173.16,63.0,96,100,4.0,NZ,2020-01-03 19:59:34,overcast clouds
302,Monrovia,6.33,-10.8,77.0,78,20,8.03,LR,2020-01-03 19:59:34,few clouds
303,Omsukchan,62.53,155.8,-4.65,98,100,4.88,RU,2020-01-03 19:55:36,overcast clouds
304,Nyazepetrovsk,56.06,59.6,17.58,91,100,14.52,RU,2020-01-03 19:59:35,light snow
305,Hereford,52.06,-2.72,42.01,89,77,10.63,GB,2020-01-03 19:59:36,broken clouds
306,Chikwawa,-16.03,34.79,68.76,89,100,4.68,MW,2020-01-03 19:59:36,light rain
307,Kindu,-2.95,25.92,71.01,98,100,2.19,CD,2020-01-03 19:59:36,light rain
308,Dullewala,31.84,71.44,51.89,47,0,3.49,PK,2020-01-03 19:55:38,clear sky
309,Constitucion,23.99,-104.67,55.4,26,5,5.82,MX,2020-01-03 19:59:37,clear sky
310,Muscat,23.6,58.55,69.8,68,0,3.36,OM,2020-01-03 19:59:37,clear sky
311,Hasaki,35.73,140.83,30.2,92,0,2.24,JP,2020-01-03 19:55:39,clear sky
312,Komsomolskiy,67.55,63.78,8.8,95,99,9.28,RU,2020-01-03 19:55:39,light snow
313,Faanui,-16.48,-151.75,81.37,80,54,12.93,PF,2020-01-03 19:55:40,broken clouds
314,Kunming,25.04,102.71,48.0,100,100,8.95,CN,2020-01-03 19:55:40,overcast clouds
315,Rio Grande,-32.03,-52.1,78.8,57,75,19.46,BR,2020-01-03 19:59:39,broken clouds
316,Yenagoa,4.92,6.26,76.87,37,0,3.11,NG,2020-01-03 19:59:40,clear sky
317,Rosario,-34.31,-57.35,82.99,69,20,16.11,UY,2020-01-03 19:59:40,few clouds
318,Buraydah,26.33,43.97,62.6,63,75,5.82,SA,2020-01-03 19:59:40,broken clouds
319,Kirakira,-10.46,161.92,79.74,81,40,8.34,SB,2020-01-03 19:59:41,scattered clouds
320,Unai,-16.36,-46.91,77.32,87,60,2.26,BR,2020-01-03 19:57:13,light rain
321,Dakar,14.69,-17.45,80.6,13,100,12.75,SN,2020-01-03 19:59:41,dust
322,Bonavista,48.65,-53.11,31.17,84,91,13.73,CA,2020-01-03 19:59:42,overcast clouds
323,Salym,60.06,71.48,10.94,92,100,12.68,RU,2020-01-03 19:55:44,light snow
324,Mazamari,-11.33,-74.53,69.57,95,69,1.74,PE,2020-01-03 19:55:44,light rain
325,Santiago De Cuba,20.03,-75.83,86.0,62,40,12.75,CU,2020-01-03 19:55:44,scattered clouds
326,San Policarpo,12.18,125.51,78.53,84,44,15.97,PH,2020-01-03 19:55:45,light rain
327,Fountain,38.68,-104.7,48.99,20,1,8.05,US,2020-01-03 19:55:45,clear sky
328,Les Cayes,18.19,-73.75,81.32,71,0,6.73,HT,2020-01-03 19:55:46,clear sky
329,Tuatapere,-46.13,167.69,48.99,76,100,14.0,NZ,2020-01-03 19:55:46,light rain
330,Jiuquan,39.73,98.49,19.09,37,100,1.99,CN,2020-01-03 19:55:46,overcast clouds
331,Capinota,-17.71,-66.26,77.0,36,75,5.35,BO,2020-01-03 19:55:47,broken clouds
332,Turukhansk,65.8,87.96,-1.8,97,100,7.31,RU,2020-01-03 19:55:47,light snow
333,Xuddur,4.12,43.89,80.01,40,1,10.89,SO,2020-01-03 19:55:48,clear sky
334,Katsuura,33.93,134.5,46.99,70,20,5.82,JP,2020-01-03 19:55:48,few clouds
335,Druzhba,52.05,33.94,27.61,94,26,10.65,UA,2020-01-03 19:55:48,scattered clouds
336,Ossora,59.24,163.07,24.96,84,100,19.35,RU,2020-01-03 19:55:49,light snow
337,Kungurtug,50.6,97.53,0.1,81,0,2.53,RU,2020-01-03 19:55:49,clear sky
338,North Bend,43.41,-124.22,55.99,66,1,4.94,US,2020-01-03 19:55:49,clear sky
339,Great Yarmouth,52.61,1.73,41.0,80,98,8.05,GB,2020-01-03 19:55:50,overcast clouds
