City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Port Shepstone,ZA,2020-01-02 20:14:56,-30.74,30.45,73.47,97,99,5.35
261,Lazaro Cardenas,MX,2020-01-02 20:14:57,28.39,-105.62,54.0,40,90,10.29
262,Phangnga,TH,2020-01-02 20:14:57,8.45,98.53,78.8,74,20,3.36
263,Belyy Yar,RU,2020-01-02 20:14:57,53.6,91.39,30.2,74,83,6.71
264,Russell,US,2020-01-02 20:12:16,38.9,-98.86,51.01,61,1,13.87
265,Sitka,US,2020-01-02 20:14:58,37.17,-99.65,51.01,52,100,13.0
266,Poya,NC,2020-01-02 20:14:58,-21.35,165.16,75.22,74,100,13.42
267,Bayanday,RU,2020-01-02 20:14:59,53.07,105.52,13.06,86,100,4.56
268,Nefteyugansk,RU,2020-01-02 20:14:59,61.09,72.61,6.8,84,40,4.47
269,Charters Towers,AU,2020-01-02 20:15:00,-20.07,146.27,75.92,81,100,8.68
270,Kirakira,SB,2020-01-02 20:15:00,-10.46,161.92,79.92,79,0,4.76
271,Vao,EE,2020-01-02 20:11:52,59.1,26.19,36.91,88,4,12.62
272,Nikolskoye,RU,2020-01-02 20:15:02,59.7,30.79,41.0,80,90,15.66
273,Honningsvag,NO,2020-01-02 20:15:02,70.98,25.97,28.4,86,90,19.46
274,Kipini,KE,2020-01-02 20:15:03,-2.53,40.53,78.8,94,1,14.25
275,Lumphat,KH,2020-01-02 20:15:03,13.5,106.97,68.86,86,100,4.61
276,Ginda,IN,2020-01-02 20:15:03,30.69,78.49,37.94,73,100,4.21
277,La Joya,US,2020-01-02 20:15:05,26.25,-98.48,71.01,73,20,11.41
278,Itambacuri,BR,2020-01-02 20:15:05,-18.04,-41.68,77.32,82,100,0.85
279,Tabou,CI,2020-01-02 20:15:05,4.42,-7.36,78.48,77,0,2.98
280,Koslan,RU,2020-01-02 20:15:06,63.46,48.9,17.69,92,100,11.32
281,Cabo San Lucas,MX,2020-01-02 20:12:10,22.89,-109.91,73.99,52,20,12.75
282,Fortuna,US,2020-01-02 20:15:07,40.6,-124.16,53.01,87,40,3.96
283,Minuwangoda,LK,2020-01-02 20:15:07,7.17,79.95,77.0,100,20,3.36
284,Benalla,AU,2020-01-02 20:15:07,-36.55,145.99,61.0,58,90,6.46
285,Bonoua,CI,2020-01-02 20:15:08,5.27,-3.6,80.6,61,0,4.7
286,Yumen,CN,2020-01-02 20:15:08,40.29,97.04,20.01,52,26,7.34
287,Talnakh,RU,2020-01-02 20:15:09,69.49,88.39,-2.2,77,100,17.9
288,Bogorodskoye,RU,2020-01-02 20:15:09,52.37,140.44,-5.67,97,100,5.53
289,Grand-Santi,GF,2020-01-02 20:15:09,4.27,-54.38,80.28,67,96,3.42
290,Najran,SA,2020-01-02 20:15:10,17.54,44.22,68.0,40,0,1.07
291,Belaya Gora,RU,2020-01-02 20:15:10,68.54,146.19,-30.84,93,0,2.13
292,Key Largo,US,2020-01-02 20:10:58,25.09,-80.45,81.0,65,20,10.29
293,Champerico,MX,2020-01-02 20:15:11,16.38,-93.6,86.0,42,40,9.17
294,Gillette,US,2020-01-02 20:13:06,44.29,-105.5,39.0,69,90,9.17
